叶子簇ID,叶子簇名称（聚合主题域）,覆盖领域,典型对象/数据形态,覆盖的任务链（聚合）,工具形态侧重
AI7,通用机器学习方法与建模生态,General ML,"tabular/graph/time-series/probabilistic","表征→训练→校准→解释→评测","方法库 + 训练框架 + 工具包"
AI8,通用多模态与感知学习生态（CV/3D/语音）,Multimodal/Perception,"image/video/pointcloud/audio","预处理→训练/推理→评测→部署","CV/3D/语音框架 + 模型库"
AI9,推理时优化与模型压缩生态,Inference Opt/Compression,"weights/graphs/kernels","量化/蒸馏→编译→加速→benchmark","压缩/编译/serving/benchmark"
CS1,科研数据工程与数据湖生态,Data Engineering,"datasets/tables/metadata","ETL→版本→目录/血缘→治理","ETL/版本/目录/治理工具"
CS2,分布式与并行计算生态,Distributed/HPC,"jobs/tasks/IO","并行→调度→加速→性能分析","分布式框架 + HPC + profiler"
CS3,数据库与检索基础设施生态,DB/Retrieval,"SQL/index/vector/graph","存储→索引→查询→权限/审计","DB/搜索/向量DB/图DB"
CS4,软件工程与可复现构建生态,Build/Test/Repro,"deps/build scripts/artifacts","构建→测试→发布→SBOM/合规","build/CI/CD/test/SBOM"
CS5,可观测性、监控与成本治理生态,Observability/FinOps,"logs/metrics/traces","监控→告警→漂移→成本→回归","obs栈 + 成本/资源治理"
CS6,安全、隐私与可信执行生态,Security/Privacy,"IAM/secrets/sandbox/privacy","隔离→权限→隐私→供应链安全","IAM/沙箱/扫描/隐私工具"
NET1,科研网络与数据传输基础设施生态,Networking/Data Transfer,"large files/flows/checksums","传输→加速→校验→监控→安全","传输/加速/测量/校验"
EDA1,半导体与电子设计自动化工具生态,Semiconductor/EDA,"HDL/netlist/layout/SPICE","设计→综合→验证→物理实现→测试","EDA链路 + 仿真/验证 + AI"
OPTO1,光学/光子学与成像工程工具生态,Optics/Photonics/Imaging,"optical models/wavefront/spectra/images","建模→仿真→重建→校准→评测","光学仿真 + 计算成像 + 光谱"
EM1,计算电磁与射频/天线/雷达工具生态,Computational EM/RF,"mesh/fields/S-params/arrays","建模→求解→后处理→耦合→优化","EM求解器 + 后处理 + 优化"
INST1,科学仪器控制与数据采集工具生态,Instrumentation/DAQ,"device APIs/time-series/logs","控制→采集→校准→追溯","驱动/协议 + 编排 + 审计"
AGRI1,农业/食品与生态生产系统工具生态,Agri/Food/Eco,"rasters/sensors/crop models","观测→建模→预测→干预→评估","作物模型 + 遥感/时序 + 自动化"
WATER1,水系统与水资源工程工具生态,Hydrology/Water Eng,"basin/network/flow/groundwater","建模→仿真→预报→调度→风险","水文/水力模型 + 调度优化"
GEOENG1,地质工程与地下系统工具生态,Subsurface/Geo-Eng,"grids/seismic/multiphase","表征→模拟→反演→预测→优化","储层/地震/地应力 + HPC"
OR1,运筹优化与决策系统工程工具生态,OR/Decision Eng,"graphs/constraints/schedules","建模→求解→鲁棒→仿真→评估","MILP/MINLP/CP/图优化"
NEU2,计算神经科学与脑仿真工具生态,Comp Neuro/Brain Sim,"neuron/circuit models/spikes","建模→仿真→拟合→分析→评测","神经模拟器 + 推断/分析"
SYS1,复杂系统与网络科学工具生态,Complex Systems/Networks,"networks/dynamics/risk","建模→模拟→推断→干预→评估","网络分析 + 动力学 + 推断"
SECSCI1,科研计算安全与合规工具生态,Sci Security/Compliance,"controlled env/audit/policy","受控执行→审计→合规→复现","受控环境 + 审计/合规"
